epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,157.268,1.3221,1.92013,1.4721,0.45945,0.3261,0.36155,0.23462,1.27328,1.48168,1.40951,0.00997817,0.00332606,0.00997817,0.00332606,0.00997817,0.00332606,0.00997817,0.00332606
2,274.461,1.30319,1.5524,1.44101,0.41554,0.35534,0.35202,0.21987,1.39917,1.56275,1.54339,0.0197804,0.00659346,0.0197804,0.00659346,0.0197804,0.00659346,0.0197804,0.00659346
3,377.358,1.39838,1.70937,1.5284,0.40132,0.28247,0.27862,0.15689,1.53758,1.95494,1.67756,0.0293846,0.00979487,0.0293846,0.00979487,0.0293846,0.00979487,0.0293846,0.00979487
4,475.821,1.44225,1.7857,1.57722,0.27579,0.23497,0.19466,0.10391,1.72167,2.29804,1.90469,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,573.64,1.41025,1.70928,1.55412,0.38968,0.35691,0.34508,0.20952,1.43802,1.64726,1.62492,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,670.152,1.37917,1.60432,1.52894,0.40026,0.31855,0.31297,0.18011,1.51394,1.83569,1.66654,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,766.955,1.33328,1.55918,1.51245,0.44635,0.35068,0.34902,0.21429,1.40498,1.67117,1.59092,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,862.291,1.31858,1.48518,1.48913,0.44579,0.38725,0.38522,0.24966,1.32258,1.4807,1.53599,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,961.342,1.30942,1.43162,1.47909,0.46075,0.38626,0.39509,0.24483,1.31874,1.42394,1.50626,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1058.28,1.29695,1.41209,1.47146,0.5031,0.38118,0.40754,0.26355,1.34554,1.39402,1.50518,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1157.27,1.27597,1.35075,1.44841,0.4797,0.38959,0.41359,0.26904,1.28157,1.36676,1.47698,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1253.79,1.26618,1.32267,1.44735,0.51725,0.38706,0.42419,0.27624,1.30331,1.28748,1.46814,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1351.26,1.24322,1.27704,1.42787,0.52529,0.42287,0.46737,0.30487,1.29014,1.25603,1.44878,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1448.88,1.24969,1.27021,1.4213,0.49945,0.43149,0.45121,0.29792,1.29035,1.22321,1.4496,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1544.68,1.23534,1.23286,1.41412,0.51102,0.40017,0.42968,0.28725,1.2506,1.2437,1.43251,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1641.37,1.21918,1.20041,1.40618,0.54191,0.42596,0.47092,0.31786,1.20688,1.18612,1.40677,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1738.8,1.20574,1.20111,1.40601,0.46821,0.33229,0.35523,0.22626,1.32476,1.59499,1.52313,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1835.41,1.1988,1.15786,1.38843,0.53513,0.43492,0.47495,0.31992,1.22201,1.17365,1.40685,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1933.26,1.18811,1.14646,1.3844,0.55484,0.44356,0.47768,0.32695,1.19467,1.17675,1.39336,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2032.32,1.17928,1.12457,1.38019,0.56825,0.43872,0.48553,0.32311,1.22564,1.1542,1.40225,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2129.53,1.17786,1.12119,1.37815,0.5639,0.45237,0.49493,0.33076,1.21393,1.14998,1.40389,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2225.7,1.18988,1.10724,1.38143,0.58326,0.43938,0.50162,0.338,1.20357,1.10892,1.39459,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2321.07,1.18306,1.07942,1.36572,0.56305,0.44906,0.50316,0.34281,1.20674,1.11201,1.38438,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
